trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.49999999999999967, 'e': 0.0019304541362277178}",25,0,37.8132131440335,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.49999999999999967, 'e': 0.0018363047770289154}",30,22,16.661073981918694,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.49999999999999967, 'e': 0.0017467471362611257}",35,13,41.30210027159912,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.49999999999999967, 'e': 0.0016615572731739413}",20,3,32.67817603771509,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.49999999999999967, 'e': 0.0015805221687362242}",30,19,21.864349095507325,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.49999999999999967, 'e': 0.001503439192977579}",25,3,36.34580254447119,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.49999999999999967, 'e': 0.0014301155983078807}",25,13,23.95526378471803,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.49999999999999967, 'e': 0.0013603680375478986}",30,16,27.65285083781848,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.49999999999999967, 'e': 0.0012940221054658536}",25,18,12.96100939032527,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.49999999999999967, 'e': 0.0012309119026734864}",25,6,30.722848385527733,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.49999999999999967, 'e': 0.0011708796207911796}",20,9,20.995118164660063,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.49999999999999967, 'e': 0.0011137751478448082}",20,9,19.801453135168206,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
